window,actor,metric,value,centrality_method
buildup_mar,OMAN,degree_centrality,0.2,exact
buildup_mar,NETANYAHU,degree_centrality,0.8,exact
buildup_mar,ARAGHCHI,degree_centrality,0.8,exact
buildup_mar,US_SENATE,degree_centrality,0.0,exact
buildup_mar,REPUBLICANS,degree_centrality,1.0,exact
buildup_mar,WITKOFF,degree_centrality,0.6000000000000001,exact
buildup_mar,SYRIA,degree_centrality,0.6000000000000001,exact
buildup_mar,GAZA,degree_centrality,1.0,exact
buildup_mar,IRAQ,degree_centrality,0.6000000000000001,exact
buildup_mar,UK,degree_centrality,0.8,exact
buildup_mar,UKRAINE,degree_centrality,0.6000000000000001,exact
buildup_mar,VANCE,degree_centrality,0.4,exact
buildup_mar,UAE,degree_centrality,0.6000000000000001,exact
buildup_mar,LEBANON,degree_centrality,0.2,exact
buildup_mar,IAEA,degree_centrality,0.6000000000000001,exact
buildup_mar,NATO,degree_centrality,0.4,exact
buildup_mar,RUBIO,degree_centrality,0.6000000000000001,exact
buildup_mar,GERMANY,degree_centrality,0.4,exact
buildup_mar,HEGSETH,degree_centrality,0.4,exact
buildup_mar,HEZBOLLAH,degree_centrality,0.8,exact
buildup_mar,PUTIN,degree_centrality,0.8,exact
buildup_mar,SAUDI_ARABIA,degree_centrality,0.4,exact
buildup_mar,KHAMENEI,degree_centrality,1.0,exact
buildup_mar,IRAN,degree_centrality,1.0,exact
buildup_mar,BIDEN,degree_centrality,0.6000000000000001,exact
buildup_mar,RUSSIA,degree_centrality,1.0,exact
buildup_mar,HOUTHIS,degree_centrality,1.0,exact
buildup_mar,CHINA,degree_centrality,1.0,exact
buildup_mar,OBAMA,degree_centrality,0.6000000000000001,exact
buildup_mar,US_CONGRESS,degree_centrality,0.2,exact
buildup_mar,HAMAS,degree_centrality,1.0,exact
buildup_mar,EU,degree_centrality,0.4,exact
buildup_mar,YEMEN,degree_centrality,1.0,exact
buildup_mar,PEZESHKIAN,degree_centrality,0.6000000000000001,exact
buildup_mar,FRANCE,degree_centrality,0.4,exact
buildup_mar,ISRAEL,degree_centrality,1.0,exact
buildup_mar,UN_SECURITY_COUNCIL,degree_centrality,0.0,exact
buildup_mar,TRUMP,degree_centrality,1.0,exact
buildup_mar,USA,degree_centrality,1.0,exact
buildup_mar,QATAR,degree_centrality,0.2,exact
buildup_mar,GROSSI,degree_centrality,0.2,exact
buildup_mar,GULF_STATES,degree_centrality,0.0,exact
buildup_mar,DEMOCRATS,degree_centrality,0.2,exact
buildup_mar,BAHRAIN,degree_centrality,0.0,exact
buildup_mar,OMAN,betweenness_centrality,0.0,exact
buildup_mar,NETANYAHU,betweenness_centrality,0.004518153996077179,exact
buildup_mar,ARAGHCHI,betweenness_centrality,0.005490110244531759,exact
buildup_mar,US_SENATE,betweenness_centrality,0.0,exact
buildup_mar,REPUBLICANS,betweenness_centrality,0.00796843507329752,exact
buildup_mar,WITKOFF,betweenness_centrality,0.0025917915694631697,exact
buildup_mar,SYRIA,betweenness_centrality,0.0030383047544125497,exact
buildup_mar,GAZA,betweenness_centrality,0.00796843507329752,exact
buildup_mar,IRAQ,betweenness_centrality,0.0025917915694631697,exact
buildup_mar,UK,betweenness_centrality,0.005490110244531759,exact
buildup_mar,UKRAINE,betweenness_centrality,0.0024981513291310806,exact
buildup_mar,VANCE,betweenness_centrality,0.0005087176783763627,exact
buildup_mar,UAE,betweenness_centrality,0.0030383047544125497,exact
buildup_mar,LEBANON,betweenness_centrality,0.0,exact
buildup_mar,IAEA,betweenness_centrality,0.002851972836056721,exact
buildup_mar,NATO,betweenness_centrality,0.0005087176783763627,exact
buildup_mar,RUBIO,betweenness_centrality,0.0025917915694631697,exact
buildup_mar,GERMANY,betweenness_centrality,0.0006487037577203217,exact
buildup_mar,HEGSETH,betweenness_centrality,0.0005087176783763627,exact
buildup_mar,HEZBOLLAH,betweenness_centrality,0.004329558005483601,exact
buildup_mar,PUTIN,betweenness_centrality,0.005490110244531759,exact
buildup_mar,SAUDI_ARABIA,betweenness_centrality,0.000853301516508375,exact
buildup_mar,KHAMENEI,betweenness_centrality,0.00796843507329752,exact
buildup_mar,IRAN,betweenness_centrality,0.00796843507329752,exact
buildup_mar,BIDEN,betweenness_centrality,0.0024981513291310806,exact
buildup_mar,RUSSIA,betweenness_centrality,0.00796843507329752,exact
buildup_mar,HOUTHIS,betweenness_centrality,0.00796843507329752,exact
buildup_mar,CHINA,betweenness_centrality,0.00796843507329752,exact
buildup_mar,OBAMA,betweenness_centrality,0.0025917915694631697,exact
buildup_mar,US_CONGRESS,betweenness_centrality,0.0,exact
buildup_mar,HAMAS,betweenness_centrality,0.00796843507329752,exact
buildup_mar,EU,betweenness_centrality,0.0005087176783763627,exact
buildup_mar,YEMEN,betweenness_centrality,0.00796843507329752,exact
buildup_mar,PEZESHKIAN,betweenness_centrality,0.0025917915694631697,exact
buildup_mar,FRANCE,betweenness_centrality,0.0006487037577203217,exact
buildup_mar,ISRAEL,betweenness_centrality,0.00796843507329752,exact
buildup_mar,UN_SECURITY_COUNCIL,betweenness_centrality,0.0,exact
buildup_mar,TRUMP,betweenness_centrality,0.00796843507329752,exact
buildup_mar,USA,betweenness_centrality,0.00796843507329752,exact
buildup_mar,QATAR,betweenness_centrality,0.0,exact
buildup_mar,GROSSI,betweenness_centrality,0.0,exact
