window,n_edges,n_mentions,volume_positive,breadth_positive,volume_neutral,breadth_neutral,volume_negative,breadth_negative
buildup_mar,130,2765,0.3848101265822785,0.23846153846153847,0.27341772151898736,0.3230769230769231,0.34177215189873417,0.43846153846153846
buildup_apr,170,7070,0.3413012729844413,0.24705882352941178,0.32234794908062236,0.3235294117647059,0.33635077793493634,0.4294117647058823
buildup_may,163,4328,0.3585951940850277,0.2331288343558282,0.34057301293900183,0.3374233128834356,0.3008317929759704,0.4294478527607362
buildup_jun1,131,2810,0.2608540925266904,0.2595419847328244,0.3181494661921708,0.29770992366412213,0.4209964412811388,0.44274809160305345
climax_w1,186,13603,0.11909137690215393,0.20967741935483872,0.31698889950746156,0.3655913978494624,0.5639197235903844,0.42473118279569894
climax_w2,205,24656,0.09705548345230369,0.2048780487804878,0.3321706683971447,0.3951219512195122,0.5707738481505515,0.4
aftermath_jun-jul,201,19868,0.15004026575397625,0.19900497512437812,0.3686329776525065,0.39800995024875624,0.4813267565935172,0.40298507462686567
aftermath_aug,166,9170,0.30436205016357687,0.21084337349397592,0.35528898582333696,0.3795180722891566,0.3403489640130862,0.40963855421686746
