window,density,bipartite_clustering,n_actor_nodes,n_concept_nodes,n_edges,total_edge_weight
buildup_mar,0.5909090909090909,0.4916490211559643,44,5,130,2765
buildup_apr,0.7727272727272727,0.6793667110787062,44,5,170,7070
buildup_may,0.740909090909091,0.6840168135992685,44,5,163,4328
buildup_jun1,0.5954545454545455,0.5074406226337975,44,5,131,2810
climax_w1,0.8454545454545455,0.780993610255681,44,5,186,13603
climax_w2,0.9318181818181818,0.9151010927018889,44,5,205,24656
aftermath_jun-jul,0.9136363636363637,0.8826435800801158,44,5,201,19868
aftermath_aug,0.7545454545454545,0.6526477908908067,44,5,166,9170
