window,n_edges,n_mentions,volume_positive,breadth_positive,volume_neutral,breadth_neutral,volume_negative,breadth_negative
buildup_mar,79,919,0.5059847660500544,0.27848101265822783,0.3068552774755169,0.3670886075949367,0.18715995647442873,0.35443037974683544
buildup_apr,82,1372,0.41472303206997085,0.3048780487804878,0.3556851311953353,0.34146341463414637,0.22959183673469388,0.35365853658536583
buildup_may,72,1059,0.449480642115203,0.2777777777777778,0.40226628895184136,0.375,0.14825306893295562,0.3472222222222222
buildup_jun1,73,931,0.35660580021482274,0.3150684931506849,0.5284640171858217,0.4383561643835616,0.11493018259935553,0.2465753424657534
climax_w1,75,1477,0.05958023019634394,0.14666666666666667,0.2972241029113067,0.4,0.6431956668923493,0.4533333333333333
climax_w2,67,784,0.08545918367346939,0.208955223880597,0.29464285714285715,0.40298507462686567,0.6198979591836735,0.3880597014925373
aftermath_jun-jul,126,5198,0.17083493651404386,0.18253968253968253,0.4091958445555983,0.4126984126984127,0.4199692189303578,0.40476190476190477
aftermath_aug,94,1672,0.2840909090909091,0.18085106382978725,0.3791866028708134,0.40425531914893614,0.33672248803827753,0.4148936170212766
