convention,n_buildup,n_climax,mean_buildup,mean_climax,median_buildup,median_climax,diff_means,ci95_low,ci95_high,cohens_d,mannwhitney_U,p_mannwhitney,p_permutation,n_permutations,alpha,significant
A: actors x concepts,207,140,0.06720953048282648,0.6254955737566424,0.0,0.6220238095238095,0.5582860432738159,0.5148132525975041,0.6015894797802251,2.9237342405078697,28004.0,1.1724718772924026e-53,9.999000099990002e-05,10000,0.05,True
B: concept presence,207,140,0.06815210581366746,0.6316716447651322,0.0,0.6666666666666666,0.5635195389514647,0.5198748544032595,0.6065963568544323,2.958969087245536,28012.0,9.858769935252535e-54,9.999000099990002e-05,10000,0.05,True
