article_id,window,links_A,mil_A,links_B,mil_B,share_A,share_B,phase
0272,aftermath_jun-jul,25,10,11,4,0.4,0.36363636363636365,other
0273,aftermath_jun-jul,68,23,37,11,0.3382352941176471,0.2972972972972973,other
0274,aftermath_jun-jul,20,4,10,3,0.2,0.3,other
0275,climax_w1,26,14,12,7,0.5384615384615384,0.5833333333333334,climax
0276,aftermath_jun-jul,27,6,12,3,0.2222222222222222,0.25,other
0277,aftermath_jun-jul,22,8,9,3,0.36363636363636365,0.3333333333333333,other
0278,climax_w1,9,8,6,5,0.8888888888888888,0.8333333333333334,climax
0279,aftermath_jun-jul,83,32,40,13,0.3855421686746988,0.325,other
0280,aftermath_jun-jul,20,11,11,6,0.55,0.5454545454545454,other
0281,aftermath_jun-jul,41,8,13,2,0.1951219512195122,0.15384615384615385,other
0282,aftermath_jun-jul,27,10,9,3,0.37037037037037035,0.3333333333333333,other
0283,climax_w1,48,16,26,8,0.3333333333333333,0.3076923076923077,climax
0284,climax_w2,16,8,6,3,0.5,0.5,climax
0285,climax_w1,29,15,14,6,0.5172413793103449,0.42857142857142855,climax
0286,climax_w2,10,4,6,2,0.4,0.3333333333333333,climax
0287,climax_w2,23,10,9,5,0.43478260869565216,0.5555555555555556,climax
0288,aftermath_jun-jul,33,14,15,6,0.42424242424242425,0.4,other
0289,aftermath_jun-jul,21,10,8,4,0.47619047619047616,0.5,other
0290,climax_w1,14,10,7,5,0.7142857142857143,0.7142857142857143,climax
0291,climax_w1,9,8,6,5,0.8888888888888888,0.8333333333333334,climax
0292,climax_w1,12,8,6,4,0.6666666666666666,0.6666666666666666,climax
0293,climax_w1,14,6,8,3,0.42857142857142855,0.375,climax
0294,climax_w1,23,19,12,10,0.8260869565217391,0.8333333333333334,climax
0295,climax_w1,44,11,26,6,0.25,0.23076923076923078,climax
0296,climax_w1,22,8,12,4,0.36363636363636365,0.3333333333333333,climax
0297,climax_w1,21,9,12,5,0.42857142857142855,0.4166666666666667,climax
0298,aftermath_jun-jul,7,7,4,4,1.0,1.0,other
0299,aftermath_jun-jul,6,5,5,4,0.8333333333333334,0.8,other
0300,climax_w2,14,11,9,7,0.7857142857142857,0.7777777777777778,climax
0301,climax_w2,9,8,6,5,0.8888888888888888,0.8333333333333334,climax
0302,climax_w1,19,10,9,5,0.5263157894736842,0.5555555555555556,climax
0303,aftermath_jun-jul,19,10,9,5,0.5263157894736842,0.5555555555555556,other
0304,aftermath_jun-jul,21,14,10,6,0.6666666666666666,0.6,other
0305,climax_w2,8,6,5,4,0.75,0.8,climax
0306,climax_w1,10,7,4,3,0.7,0.75,climax
0307,climax_w1,17,10,8,5,0.5882352941176471,0.625,climax
0308,climax_w1,19,10,12,6,0.5263157894736842,0.5,climax
0309,climax_w1,17,12,10,7,0.7058823529411765,0.7,climax
0310,climax_w2,16,11,8,6,0.6875,0.75,climax
0311,climax_w1,18,14,9,7,0.7777777777777778,0.7777777777777778,climax
0312,climax_w2,10,8,6,5,0.8,0.8333333333333334,climax
0313,aftermath_jun-jul,10,7,5,4,0.7,0.8,other
0314,climax_w1,15,11,6,4,0.7333333333333333,0.6666666666666666,climax
0315,climax_w1,17,12,8,6,0.7058823529411765,0.75,climax
0316,climax_w1,33,15,16,7,0.45454545454545453,0.4375,climax
0317,aftermath_jun-jul,21,8,8,3,0.38095238095238093,0.375,other
0318,climax_w1,8,3,4,2,0.375,0.5,climax
0319,climax_w2,9,9,5,5,1.0,1.0,climax
0320,aftermath_jun-jul,4,4,3,3,1.0,1.0,other
0321,climax_w1,21,13,6,4,0.6190476190476191,0.6666666666666666,climax
0322,climax_w1,27,12,18,8,0.4444444444444444,0.4444444444444444,climax
0323,climax_w2,21,11,14,7,0.5238095238095238,0.5,climax
0324,aftermath_jun-jul,19,10,8,4,0.5263157894736842,0.5,other
0325,climax_w1,20,9,10,4,0.45,0.4,climax
0326,climax_w2,19,6,9,4,0.3157894736842105,0.4444444444444444,climax
0327,climax_w1,17,9,6,3,0.5294117647058824,0.5,climax
0328,climax_w2,16,10,10,6,0.625,0.6,climax
0329,climax_w2,19,7,9,3,0.3684210526315789,0.3333333333333333,climax
0330,climax_w2,10,8,6,5,0.8,0.8333333333333334,climax
0331,climax_w2,14,12,9,8,0.8571428571428571,0.8888888888888888,climax
0332,climax_w1,14,12,7,6,0.8571428571428571,0.8571428571428571,climax
0333,climax_w1,20,10,9,4,0.5,0.4444444444444444,climax
0334,climax_w2,9,5,6,4,0.5555555555555556,0.6666666666666666,climax
0335,climax_w1,13,5,5,2,0.38461538461538464,0.4,climax
0336,aftermath_jun-jul,9,4,5,3,0.4444444444444444,0.6,other
0337,climax_w1,9,3,6,2,0.3333333333333333,0.3333333333333333,climax
0338,climax_w2,8,4,5,3,0.5,0.6,climax
0339,climax_w1,7,5,4,3,0.7142857142857143,0.75,climax
0340,climax_w2,9,8,6,5,0.8888888888888888,0.8333333333333334,climax
0341,climax_w2,7,5,5,4,0.7142857142857143,0.8,climax
0342,climax_w2,13,13,7,7,1.0,1.0,climax
0343,climax_w1,6,6,3,3,1.0,1.0,climax
0344,climax_w2,10,8,8,6,0.8,0.75,climax
0345,climax_w1,8,3,5,2,0.375,0.4,climax
0346,climax_w2,8,4,4,3,0.5,0.75,climax
0347,aftermath_jun-jul,4,4,3,3,1.0,1.0,other
0348,climax_w1,22,11,14,6,0.5,0.42857142857142855,climax
0349,climax_w1,9,7,6,5,0.7777777777777778,0.8333333333333334,climax
0350,climax_w2,10,10,6,6,1.0,1.0,climax
0351,climax_w2,9,4,6,3,0.4444444444444444,0.5,climax
0352,climax_w2,10,8,6,5,0.8,0.8333333333333334,climax
0353,climax_w1,15,11,8,6,0.7333333333333333,0.75,climax
0354,climax_w1,9,6,4,3,0.6666666666666666,0.75,climax
0355,climax_w2,10,10,6,6,1.0,1.0,climax
0356,climax_w1,9,7,5,4,0.7777777777777778,0.8,climax
0357,climax_w2,10,10,8,8,1.0,1.0,climax
0358,climax_w2,6,6,4,4,1.0,1.0,climax
0359,climax_w2,14,0,8,0,0.0,0.0,climax
0360,climax_w1,11,11,6,6,1.0,1.0,climax
0361,aftermath_jun-jul,21,3,6,1,0.14285714285714285,0.16666666666666666,other
0362,climax_w1,20,5,8,2,0.25,0.25,climax
0363,climax_w1,10,8,7,6,0.8,0.8571428571428571,climax
0364,climax_w2,11,8,7,5,0.7272727272727273,0.7142857142857143,climax
0365,climax_w1,6,4,4,3,0.6666666666666666,0.75,climax
0366,aftermath_jun-jul,8,4,6,3,0.5,0.5,other
0367,aftermath_jun-jul,13,3,5,1,0.23076923076923078,0.2,other
0368,climax_w2,9,8,6,5,0.8888888888888888,0.8333333333333334,climax
0369,climax_w1,11,9,6,5,0.8181818181818182,0.8333333333333334,climax
