window,n_relations,material_conflict,verbal_conflict,verbal_cooperation,material_cooperation,polarity_negative,polarity_positive
buildup_mar,2,0.5,0.5,0.0,0.0,1.0,0.0
buildup_apr,4,0.0,1.0,0.0,0.0,1.0,0.0
climax_w1,7,0.8571,0.1429,0.0,0.0,1.0,0.0
climax_w2,2,0.5,0.5,0.0,0.0,1.0,0.0
aftermath_jun-jul,23,0.9565,0.0435,0.0,0.0,1.0,0.0
aftermath_aug,2,0.5,0.0,0.5,0.0,0.5,0.5
