window,western_negative,iranian_negative,western_positive,iranian_positive,negative_gap
buildup_mar,0.3417721518987341,0.1871599564744287,0.3848101265822785,0.5059847660500544,-0.1546121954243054
buildup_apr,0.3363507779349363,0.2295918367346938,0.3413012729844413,0.4147230320699708,-0.10675894120024249
buildup_may,0.3008317929759704,0.1482530689329556,0.3585951940850277,0.449480642115203,-0.1525787240430148
buildup_jun1,0.4209964412811388,0.1149301825993555,0.2608540925266904,0.3566058002148227,-0.3060662586817833
climax_w1,0.5639197235903844,0.6431956668923493,0.1190913769021539,0.0595802301963439,0.07927594330196486
climax_w2,0.5707738481505515,0.6198979591836735,0.0970554834523036,0.0854591836734693,0.049124111033121975
aftermath_jun-jul,0.4813267565935172,0.4199692189303578,0.1500402657539762,0.1708349365140438,-0.06135753766315938
aftermath_aug,0.3403489640130862,0.3367224880382775,0.3043620501635768,0.2840909090909091,-0.003626475974808696
