window,western_density,iranian_density,western_clustering,iranian_clustering
buildup_mar,0.5909090909090909,0.359090909090909,0.4916490211559643,0.3413014093246638
buildup_apr,0.7727272727272727,0.3727272727272727,0.6793667110787062,0.3368014479295991
buildup_may,0.740909090909091,0.3272727272727272,0.6840168135992685,0.3027076447630192
buildup_jun1,0.5954545454545455,0.3318181818181818,0.5074406226337975,0.3115473063063312
climax_w1,0.8454545454545455,0.3409090909090909,0.780993610255681,0.308313212079959
climax_w2,0.9318181818181818,0.3045454545454545,0.9151010927018888,0.2702264550991015
aftermath_jun-jul,0.9136363636363636,0.5727272727272728,0.8826435800801158,0.5018153864133524
aftermath_aug,0.7545454545454545,0.4272727272727272,0.6526477908908067,0.364619620646026
