window,actor,concept,wn_western,wn_iran,wn_diff
aftermath_aug,PEZESHKIAN,diplomacy,0.0,0.0595,0.0595
buildup_jun1,UK,strike_claims,0.0,0.06,0.06
buildup_jun1,ARAGHCHI,strike_claims,0.0,0.06,0.06
buildup_jun1,GROSSI,diplomacy,0.0,0.06,0.06
buildup_jun1,GERMANY,strike_claims,0.0,0.06,0.06
buildup_mar,GROSSI,diplomacy,0.0,0.0606,0.0606
buildup_mar,SYRIA,strike_claims,0.0,0.0606,0.0606
buildup_mar,ARAGHCHI,strike_claims,0.0,0.0606,0.0606
buildup_mar,FRANCE,deterrence,0.0,0.0606,0.0606
buildup_mar,UAE,military_action,0.0,0.0606,0.0606
buildup_mar,PEZESHKIAN,deterrence,0.0,0.0606,0.0606
buildup_mar,GERMANY,deterrence,0.0,0.0606,0.0606
aftermath_jun-jul,EU,strike_claims,0.0036,0.0645,0.0609
buildup_apr,GROSSI,diplomacy,0.0328,0.0938,0.061
climax_w1,IAEA,deterrence,0.0086,0.0706,0.062
climax_w1,IRAQ,strike_claims,0.0202,0.0824,0.0622
aftermath_jun-jul,PEZESHKIAN,diplomacy,0.0197,0.0829,0.0632
aftermath_jun-jul,QATAR,military_action,0.129,0.1935,0.0645
buildup_mar,ARAGHCHI,military_action,0.0256,0.0909,0.0653
aftermath_aug,UN_SECURITY_COUNCIL,diplomacy,0.0414,0.1071,0.0657
buildup_jun1,PEZESHKIAN,diplomacy,0.0127,0.08,0.0673
buildup_may,ISRAEL,deterrence,0.2319,0.3,0.0681
buildup_may,EU,nuclear_program,0.0145,0.0833,0.0688
aftermath_jun-jul,UN_SECURITY_COUNCIL,strike_claims,0.0,0.0691,0.0691
aftermath_jun-jul,PEZESHKIAN,strike_claims,0.009,0.0783,0.0693
buildup_jun1,GERMANY,nuclear_program,0.0506,0.12,0.0694
climax_w1,UN_SECURITY_COUNCIL,nuclear_program,0.0,0.0706,0.0706
climax_w2,ARAGHCHI,strike_claims,0.0193,0.0909,0.0716
buildup_apr,IAEA,deterrence,0.0219,0.0938,0.0719
aftermath_aug,ARAGHCHI,strike_claims,0.0103,0.0833,0.073
aftermath_jun-jul,USA,strike_claims,0.5627,0.6359,0.0732
buildup_may,IAEA,deterrence,0.0072,0.0833,0.0761
buildup_mar,ISRAEL,deterrence,0.1026,0.1818,0.0792
buildup_mar,RUSSIA,nuclear_program,0.1923,0.2727,0.0804
buildup_mar,GROSSI,nuclear_program,0.0385,0.1212,0.0827
aftermath_jun-jul,ARAGHCHI,deterrence,0.0036,0.0876,0.084
buildup_may,PEZESHKIAN,nuclear_program,0.0652,0.15,0.0848
buildup_may,EU,deterrence,0.029,0.1167,0.0877
aftermath_jun-jul,PEZESHKIAN,military_action,0.0179,0.106,0.0881
climax_w1,PEZESHKIAN,diplomacy,0.0029,0.0941,0.0912
buildup_apr,FRANCE,strike_claims,0.0,0.0938,0.0938
buildup_jun1,FRANCE,diplomacy,0.0253,0.12,0.0947
buildup_apr,ARAGHCHI,military_action,0.0109,0.1094,0.0985
buildup_jun1,FRANCE,nuclear_program,0.038,0.14,0.102
buildup_may,ARAGHCHI,military_action,0.0145,0.1167,0.1022
buildup_jun1,EU,strike_claims,0.0127,0.12,0.1073
buildup_may,GERMANY,diplomacy,0.0072,0.1167,0.1095
buildup_jun1,IAEA,deterrence,0.0,0.12,0.12
buildup_jun1,EU,diplomacy,0.1392,0.26,0.1208
buildup_mar,QATAR,nuclear_program,0.0,0.1212,0.1212
buildup_mar,UN_SECURITY_COUNCIL,nuclear_program,0.0,0.1212,0.1212
aftermath_aug,ARAGHCHI,military_action,0.0931,0.2143,0.1212
buildup_jun1,UK,diplomacy,0.038,0.16,0.122
buildup_jun1,GERMANY,diplomacy,0.038,0.16,0.122
aftermath_jun-jul,PEZESHKIAN,nuclear_program,0.0054,0.129,0.1236
aftermath_jun-jul,IAEA,strike_claims,0.0376,0.1613,0.1237
buildup_mar,UAE,diplomacy,0.0256,0.1515,0.1259
buildup_may,UK,diplomacy,0.0072,0.1333,0.1261
buildup_apr,OMAN,diplomacy,0.4973,0.625,0.1277
climax_w1,ARAGHCHI,strike_claims,0.0,0.1294,0.1294
buildup_jun1,IAEA,diplomacy,0.0506,0.18,0.1294
buildup_may,FRANCE,diplomacy,0.0,0.1333,0.1333
buildup_may,OMAN,nuclear_program,0.1304,0.2667,0.1363
buildup_jun1,IAEA,strike_claims,0.0,0.14,0.14
buildup_jun1,PEZESHKIAN,nuclear_program,0.0,0.14,0.14
buildup_apr,ARAGHCHI,deterrence,0.0437,0.1875,0.1438
climax_w1,PEZESHKIAN,military_action,0.0202,0.1647,0.1445
climax_w1,IRAN,strike_claims,0.7839,0.9294,0.1455
buildup_may,ARAGHCHI,deterrence,0.087,0.2333,0.1463
buildup_apr,IRAN,deterrence,0.9836,1.1406,0.157
buildup_mar,USA,strike_claims,0.1154,0.2727,0.1573
aftermath_jun-jul,ISRAEL,military_action,1.9462,2.106,0.1598
buildup_jun1,IRAN,strike_claims,0.2911,0.46,0.1689
buildup_jun1,OMAN,nuclear_program,0.0506,0.22,0.1694
aftermath_aug,USA,strike_claims,0.1621,0.3333,0.1712
buildup_mar,ARAGHCHI,deterrence,0.0385,0.2121,0.1736
aftermath_aug,USA,military_action,1.1793,1.3571,0.1778
buildup_mar,FRANCE,diplomacy,0.0641,0.2424,0.1783
buildup_apr,GROSSI,nuclear_program,0.1257,0.3125,0.1868
aftermath_jun-jul,ARAGHCHI,strike_claims,0.0108,0.1982,0.1874
aftermath_jun-jul,EU,diplomacy,0.0842,0.2719,0.1877
buildup_mar,GERMANY,diplomacy,0.0513,0.2424,0.1911
buildup_jun1,EU,nuclear_program,0.038,0.24,0.202
buildup_apr,FRANCE,deterrence,0.0,0.2031,0.2031
buildup_mar,IAEA,diplomacy,0.0,0.2121,0.2121
buildup_may,EU,diplomacy,0.087,0.3,0.213
buildup_apr,FRANCE,nuclear_program,0.0492,0.2656,0.2164
buildup_may,IRAN,strike_claims,0.1449,0.3667,0.2218
aftermath_aug,QATAR,military_action,0.0034,0.2262,0.2228
buildup_mar,ARAGHCHI,nuclear_program,0.0385,0.2727,0.2342
aftermath_aug,IRAN,strike_claims,0.2655,0.5,0.2345
aftermath_jun-jul,IAEA,military_action,0.1326,0.3687,0.2361
buildup_mar,EU,nuclear_program,0.0,0.2424,0.2424
buildup_mar,UK,diplomacy,0.0513,0.303,0.2517
buildup_mar,IRAN,strike_claims,0.3205,0.5758,0.2553
buildup_may,OMAN,diplomacy,0.1957,0.4833,0.2876
buildup_jun1,IRAN,diplomacy,2.4051,2.7,0.2949
buildup_jun1,OMAN,diplomacy,0.0633,0.36,0.2967
buildup_jun1,ARAGHCHI,diplomacy,0.038,0.34,0.302
aftermath_jun-jul,ARAGHCHI,military_action,0.0538,0.3779,0.3241
buildup_jun1,ARAGHCHI,nuclear_program,0.0506,0.38,0.3294
climax_w1,ARAGHCHI,military_action,0.0317,0.3765,0.3448
buildup_apr,ARAGHCHI,nuclear_program,0.1475,0.5,0.3525
buildup_mar,IRAN,deterrence,0.7821,1.1515,0.3694
climax_w1,ISRAEL,strike_claims,0.5908,0.9647,0.3739
aftermath_jun-jul,IAEA,nuclear_program,0.3566,0.7327,0.3761
buildup_may,IAEA,nuclear_program,0.1957,0.5833,0.3876
aftermath_jun-jul,ARAGHCHI,diplomacy,0.0448,0.4332,0.3884
buildup_jun1,USA,diplomacy,1.3671,1.76,0.3929
buildup_apr,ARAGHCHI,diplomacy,0.306,0.7031,0.3971
aftermath_aug,ARAGHCHI,diplomacy,0.1621,0.5714,0.4093
aftermath_aug,ARAGHCHI,nuclear_program,0.0897,0.5,0.4103
aftermath_jun-jul,ARAGHCHI,nuclear_program,0.0591,0.5115,0.4524
buildup_mar,ARAGHCHI,diplomacy,0.0769,0.5758,0.4989
buildup_may,ARAGHCHI,nuclear_program,0.1957,0.7,0.5043
aftermath_jun-jul,ISRAEL,strike_claims,0.3369,0.8756,0.5387
buildup_apr,IAEA,nuclear_program,0.2732,0.9375,0.6643
buildup_may,ARAGHCHI,diplomacy,0.2536,0.95,0.6964
buildup_jun1,IAEA,nuclear_program,0.519,1.24,0.721
buildup_mar,EU,diplomacy,0.0,1.0,1.0
buildup_mar,IRAN,diplomacy,3.7436,4.7576,1.014
buildup_mar,USA,diplomacy,1.859,3.303,1.444
buildup_mar,IAEA,nuclear_program,0.1923,1.6364,1.4441
