window,western_us,iranian_us,western_iran,iranian_iran
buildup_mar,0.4386980108499095,0.3199129488574537,0.4036166365280289,0.426550598476605
buildup_apr,0.4718528995756718,0.3155976676384839,0.3889674681753889,0.4788629737609329
buildup_may,0.4932994454713493,0.291784702549575,0.3710720887245841,0.5382436260623229
buildup_jun1,0.4583629893238434,0.2642320085929108,0.3380782918149466,0.4876476906552094
climax_w1,0.5575240755715651,0.4211238997968856,0.370727045504668,0.4671631685849695
climax_w2,0.5589308890330954,0.4540816326530612,0.363724853990915,0.4362244897959184
aftermath_jun-jul,0.5253674250050332,0.4024624855713736,0.3661667002214616,0.4349749903809157
aftermath_aug,0.3105779716466739,0.3319377990430622,0.3532170119956379,0.4222488038277512
