window_size,ours_cumulative_pct,diesner_semeval_pct
0,13.448361852964577,5.8
1,24.544299438315658,15.1
2,32.03738228972462,38.6
3,38.87021885501894,57.7
4,45.399057130303646,72.0
5,50.80571421785752,82.3
6,55.63881203168231,88.9
7,60.01353742385199,93.0
8,64.11276436570044,95.3
9,67.61111968745176,96.8
10,70.92066357126741,97.8
11,73.76471007350584,98.6
12,76.41400767120685,99.0
13,78.79018180522735,
14,81.02266924748548,
15,82.93453349324909,
