window,n_actors_connected,density,avg_clustering,transitivity,n_edges,mean_redundancy_concepts
buildup_mar,40,0.9230769230769231,0.39353032718827985,0.9404108514975694,720,0.8955380151509184
buildup_apr,44,0.9830866807610994,0.6041212461057949,0.9857243154692253,930,0.9565543941153697
buildup_may,41,0.9963414634146341,0.6148999756578553,0.9965038268921855,817,0.9909486814749972
buildup_jun1,40,0.9538461538461539,0.40835583091634864,0.964416092038792,744,0.9170859251575365
climax_w1,42,1.0,0.7466688436971459,1.0,861,0.9900116144018583
climax_w2,42,1.0,0.9084986794468383,1.0,861,1.0
aftermath_jun-jul,42,1.0,0.8683560924871156,1.0,861,1.0
aftermath_aug,41,0.9792682926829268,0.591744510867451,0.9817950889077053,803,0.9593318725339598
