window,n_actors,n_edges,density,reciprocity,triad_003,triad_012,triad_102,triad_021D,triad_021U,triad_021C,triad_111D,triad_111U,triad_030T,triad_030C,triad_201,triad_120D,triad_120U,triad_120C,triad_210,triad_300
buildup_mar,6,4,0.1333,0.0,6,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0
buildup_apr,12,13,0.0985,0.1538,119,77,5,3,6,5,4,1,0,0,0,0,0,0,0,0
buildup_may,11,11,0.1,0.0,83,66,0,3,3,9,0,0,1,0,0,0,0,0,0,0
buildup_jun1,9,7,0.0972,0.0,41,37,0,1,3,2,0,0,0,0,0,0,0,0,0,0
climax_w1,13,20,0.1282,0.3,148,82,12,2,12,8,12,5,1,1,0,1,0,1,1,0
climax_w2,18,24,0.0784,0.25,532,210,26,7,9,11,12,5,0,1,0,0,1,0,2,0
aftermath_jun-jul,17,20,0.0735,0.2,460,156,17,8,10,16,7,2,1,0,1,2,0,0,0,0
aftermath_aug,12,14,0.1061,0.2857,128,58,7,5,4,6,6,5,0,0,0,0,0,0,1,0
