window,actor,metric,value,centrality_method
buildup_mar,QATAR,closeness_centrality,0.8050799086757991,exact
buildup_mar,EU,closeness_centrality,0.8771766169154229,exact
buildup_mar,ISRAEL,closeness_centrality,1.0310672514619885,exact
buildup_mar,UK,closeness_centrality,0.8771766169154229,exact
buildup_mar,WITKOFF,closeness_centrality,0.0,exact
buildup_mar,IAEA,closeness_centrality,0.9041666666666667,exact
buildup_mar,BIDEN,closeness_centrality,0.0,exact
buildup_mar,KHAMENEI,closeness_centrality,0.8277582159624414,exact
buildup_mar,UKRAINE,closeness_centrality,0.0,exact
buildup_mar,US_CONGRESS,closeness_centrality,0.0,exact
buildup_mar,HAMAS,closeness_centrality,0.0,exact
buildup_mar,UAE,closeness_centrality,0.9961158192090397,exact
buildup_mar,SYRIA,closeness_centrality,0.5936447811447813,exact
buildup_mar,DEMOCRATS,closeness_centrality,0.0,exact
buildup_mar,OMAN,closeness_centrality,0.8277582159624414,exact
buildup_mar,PUTIN,closeness_centrality,0.0,exact
buildup_mar,HEZBOLLAH,closeness_centrality,0.0,exact
buildup_mar,NATO,closeness_centrality,0.0,exact
buildup_mar,UN_SECURITY_COUNCIL,closeness_centrality,0.8277582159624414,exact
buildup_mar,OBAMA,closeness_centrality,0.8277582159624414,exact
buildup_mar,NETANYAHU,closeness_centrality,0.7836111111111111,exact
buildup_mar,GERMANY,closeness_centrality,0.9041666666666667,exact
buildup_mar,US_SENATE,closeness_centrality,0.0,exact
buildup_mar,VANCE,closeness_centrality,0.0,exact
buildup_mar,IRAQ,closeness_centrality,0.7836111111111111,exact
buildup_mar,IRAN,closeness_centrality,1.0310672514619885,exact
buildup_mar,BAHRAIN,closeness_centrality,0.0,exact
buildup_mar,HOUTHIS,closeness_centrality,0.0,exact
buildup_mar,TRUMP,closeness_centrality,0.9041666666666667,exact
buildup_mar,PEZESHKIAN,closeness_centrality,0.8771766169154229,exact
buildup_mar,CHINA,closeness_centrality,0.8771766169154229,exact
buildup_mar,REPUBLICANS,closeness_centrality,0.0,exact
buildup_mar,USA,closeness_centrality,1.0310672514619885,exact
buildup_mar,GAZA,closeness_centrality,0.5936447811447813,exact
buildup_mar,SAUDI_ARABIA,closeness_centrality,0.9961158192090397,exact
buildup_mar,YEMEN,closeness_centrality,0.7080823293172692,exact
buildup_mar,HEGSETH,closeness_centrality,0.0,exact
buildup_mar,RUSSIA,closeness_centrality,1.0310672514619885,exact
buildup_mar,ARAGHCHI,closeness_centrality,1.0310672514619885,exact
buildup_mar,LEBANON,closeness_centrality,0.5936447811447813,exact
buildup_mar,GULF_STATES,closeness_centrality,0.0,exact
buildup_mar,GROSSI,eigenvector_katz,0.05819476548497119,katz_fallback
buildup_mar,RUBIO,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,FRANCE,eigenvector_katz,0.06849139093140356,katz_fallback
buildup_mar,QATAR,eigenvector_katz,0.05457182158196769,katz_fallback
buildup_mar,EU,eigenvector_katz,0.12661188925776504,katz_fallback
buildup_mar,ISRAEL,eigenvector_katz,0.07676519281409566,katz_fallback
buildup_mar,UK,eigenvector_katz,0.0736545176797385,katz_fallback
buildup_mar,WITKOFF,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,IAEA,eigenvector_katz,0.12254529246562033,katz_fallback
buildup_mar,BIDEN,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,KHAMENEI,eigenvector_katz,0.08068885451417004,katz_fallback
buildup_mar,UKRAINE,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,US_CONGRESS,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,HAMAS,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,UAE,eigenvector_katz,0.06260832313900008,katz_fallback
buildup_mar,SYRIA,eigenvector_katz,0.05059415201550837,katz_fallback
buildup_mar,DEMOCRATS,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,OMAN,eigenvector_katz,0.05296174227930037,katz_fallback
buildup_mar,PUTIN,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,HEZBOLLAH,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,NATO,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,UN_SECURITY_COUNCIL,eigenvector_katz,0.056143494077104394,katz_fallback
buildup_mar,OBAMA,eigenvector_katz,0.05706428509503395,katz_fallback
buildup_mar,NETANYAHU,eigenvector_katz,0.05190115834669902,katz_fallback
buildup_mar,GERMANY,eigenvector_katz,0.07003157377673498,katz_fallback
buildup_mar,US_SENATE,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,VANCE,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,IRAQ,eigenvector_katz,0.056003701162432605,katz_fallback
buildup_mar,IRAN,eigenvector_katz,0.5064342161260489,katz_fallback
buildup_mar,BAHRAIN,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,HOUTHIS,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,TRUMP,eigenvector_katz,0.1755717295065663,katz_fallback
buildup_mar,PEZESHKIAN,eigenvector_katz,0.061346889232537734,katz_fallback
buildup_mar,CHINA,eigenvector_katz,0.07273372666180894,katz_fallback
buildup_mar,REPUBLICANS,eigenvector_katz,0.04984988693883222,katz_fallback
buildup_mar,USA,eigenvector_katz,0.31737602308877355,katz_fallback
buildup_mar,GAZA,eigenvector_katz,0.050222019477170296,katz_fallback
buildup_mar,SAUDI_ARABIA,eigenvector_katz,0.053338264196285,katz_fallback
buildup_mar,YEMEN,eigenvector_katz,0.05187405807554029,katz_fallback
buildup_mar,HEGSETH,eigenvector_katz,0.04984988693883222,katz_fallback
