convention,n_buildup,n_climax,mean_buildup,mean_climax,median_buildup,median_climax,diff_means,ci95_low,ci95_high,cohens_d,mannwhitney_U,p_mannwhitney,p_permutation,n_permutations,alpha,significant
A: actors x concepts,477,916,0.2264152622747974,0.4921383322462444,0.2,0.48717948717948717,0.265723069971447,0.2465286997918057,0.28462332232064674,1.546692039378601,376487.5,2.516323569401585e-109,9.999000099990002e-05,10000,0.05,True
B: concept presence,477,916,0.22282775512637257,0.4857938220513503,0.1875,0.4871456822676335,0.2629660669249777,0.24356225189449585,0.28225510355269023,1.5352314075398426,375168.0,1.3676471475593134e-107,9.999000099990002e-05,10000,0.05,True
