window,density,bipartite_clustering,n_actor_nodes,n_concept_nodes,n_edges,total_edge_weight
buildup_mar,0.35909090909090907,0.3413014093246638,44,5,79,919
buildup_apr,0.37272727272727274,0.33680144792959915,44,5,82,1372
buildup_may,0.32727272727272727,0.30270764476301926,44,5,72,1059
buildup_jun1,0.33181818181818185,0.3115473063063312,44,5,73,931
climax_w1,0.3409090909090909,0.30831321207995904,44,5,75,1477
climax_w2,0.30454545454545456,0.2702264550991015,44,5,67,784
aftermath_jun-jul,0.5727272727272728,0.5018153864133524,44,5,126,5198
aftermath_aug,0.42727272727272725,0.364619620646026,44,5,94,1672
