window,count,mean,std,median
aftermath_aug,1672,8.955,9.996,6.0
aftermath_jun-jul,5194,9.619,10.962,6.0
buildup_apr,1371,8.049,8.763,5.0
buildup_jun1,930,9.89,11.506,6.0
buildup_mar,919,7.346,8.054,5.0
buildup_may,1057,7.935,8.187,5.0
climax_w1,1474,7.04,8.186,4.5
climax_w2,784,6.721,7.774,4.0
