window_size,ours_cumulative_pct,diesner_semeval_pct
0,13.834788448623236,5.8
1,25.14737706141333,15.1
2,32.28117304678755,38.6
3,38.683680322364,57.7
4,44.50414148197896,72.0
5,50.01119319453772,82.3
6,54.97350943959406,88.9
7,59.07021864039997,93.0
8,63.19677635997314,95.3
9,66.80844713081113,96.8
10,70.02462502798299,97.8
11,72.52443847474069,98.6
12,74.89739571673756,99.0
13,77.24050443996717,
14,79.64331020073129,
15,81.82225207074099,
