window,n_actors_connected,density,avg_clustering,transitivity,n_edges,mean_redundancy_concepts
buildup_mar,27,0.8290598290598291,0.23735031655010427,0.9196768060836502,291,0.8200573403204983
buildup_apr,26,0.9784615384615385,0.24083641846909962,0.9831663326653307,318,0.8969473684210527
buildup_may,27,0.811965811965812,0.19803175583936417,0.8797216699801192,285,0.7584857248015142
buildup_jun1,24,0.9818840579710145,0.21791679119327334,0.984646878198567,271,0.9172872893696692
climax_w1,24,0.9311594202898551,0.21569389416809948,0.954443194600675,257,0.8943722943722945
climax_w2,20,0.9210526315789473,0.1974536987410294,0.9346785225718194,175,0.8830647130647131
aftermath_jun-jul,32,0.9818548387096774,0.4350220331476167,0.9838462609664392,487,0.9510524333792698
aftermath_aug,31,0.8279569892473119,0.26181302181024235,0.8774530271398747,385,0.7812172539773832
